run_name,model,status,best_test_acc,best_test_macro_f1,best_test_event_synops,out_dir,csv_path,summary_path,cmd
dynsrm__id089__tr4__trefr8__vth0p5__lr0p0008__ig1__wd0__h500__L2,dynsrm,DONE,0.9583333333333334,0.9587747892278308,2759522080.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id089__tr4__trefr8__vth0p5__lr0p0008__ig1__wd0__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id089__tr4__trefr8__vth0p5__lr0p0008__ig1__wd0__h500__L2/SHD_dynsrm_BP_20260422_183112.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id089__tr4__trefr8__vth0p5__lr0p0008__ig1__wd0__h500__L2/SHD_dynsrm_BP_20260422_183112_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id089__tr4__trefr8__vth0p5__lr0p0008__ig1__wd0__h500__L2 -b 128 -epochs 80 -j 4 -T 20 --model dynsrm --hidden-dim 500 --num-layers 2 -lr 0.0008 --weight-decay 0.0 --input-gain 1.0 --v-threshold 0.5 --v-reset 0.0 --tau-response 4.0 --tau-refractory 8.0
alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2,alif,DONE,0.9485294117647058,0.9485416261427309,2492812460.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2/SHD_alif_BP_20260422_013647.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2/SHD_alif_BP_20260422_013647_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id033__tau4__vth0p3__lr0p0008__ig1p2__wd0__h500__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 500 --num-layers 2 -lr 0.0008 --weight-decay 0.0 --input-gain 1.2 --v-threshold 0.3 --v-reset 0.0 --tau 4.0
dynsrm__id101__tr4__trefr6__vth0p7__lr0p0008__ig1__wd1em05__h384__L2,dynsrm,DONE,0.9473039215686274,0.9484334422116598,1952888592.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id101__tr4__trefr6__vth0p7__lr0p0008__ig1__wd1em05__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id101__tr4__trefr6__vth0p7__lr0p0008__ig1__wd1em05__h384__L2/SHD_dynsrm_BP_20260422_220442.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id101__tr4__trefr6__vth0p7__lr0p0008__ig1__wd1em05__h384__L2/SHD_dynsrm_BP_20260422_220442_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id101__tr4__trefr6__vth0p7__lr0p0008__ig1__wd1em05__h384__L2 -b 128 -epochs 80 -j 4 -T 20 --model dynsrm --hidden-dim 384 --num-layers 2 -lr 0.0008 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.7 --v-reset 0.0 --tau-response 4.0 --tau-refractory 6.0
srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2,srm,DONE,0.9362745098039216,0.9356871766672584,1211644324.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2/SHD_srm_BP_20260422_065001.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2/SHD_srm_BP_20260422_065001_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id051__tr4__trefr6__vth0p7__lr0p0008__ig0p8__wd1em05__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 256 --num-layers 2 -lr 0.0008 --weight-decay 1e-05 --input-gain 0.8 --v-threshold 0.7 --v-reset 0.0 --tau-response 4.0 --tau-refractory 6.0
srm__id069__tr3__trefr10__vth0p3__lr0p0003__ig1__wd1em05__h384__L2,srm,DONE,0.9350490196078431,0.9359651704152973,2054660564.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id069__tr3__trefr10__vth0p3__lr0p0003__ig1__wd1em05__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id069__tr3__trefr10__vth0p3__lr0p0003__ig1__wd1em05__h384__L2/SHD_srm_BP_20260422_123619.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id069__tr3__trefr10__vth0p3__lr0p0003__ig1__wd1em05__h384__L2/SHD_srm_BP_20260422_123619_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id069__tr3__trefr10__vth0p3__lr0p0003__ig1__wd1em05__h384__L2 -b 128 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 384 --num-layers 2 -lr 0.0003 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.3 --v-reset 0.0 --tau-response 3.0 --tau-refractory 10.0
srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2,srm,DONE,0.928921568627451,0.9275240488815542,2679992540.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2/SHD_srm_BP_20260422_060937.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2/SHD_srm_BP_20260422_060937_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id048__tr4__trefr6__vth0p5__lr0p0003__ig0p8__wd0p0001__h500__L2 -b 128 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 500 --num-layers 2 -lr 0.0003 --weight-decay 0.0001 --input-gain 0.8 --v-threshold 0.5 --v-reset 0.0 --tau-response 4.0 --tau-refractory 6.0
dynsrm__id091__tr1p5__trefr6__vth0p5__lr0p002__ig1__wd0__h384__L2,dynsrm,DONE,0.9276960784313726,0.9281307431041096,1882412836.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id091__tr1p5__trefr6__vth0p5__lr0p002__ig1__wd0__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id091__tr1p5__trefr6__vth0p5__lr0p002__ig1__wd0__h384__L2/SHD_dynsrm_BP_20260422_190615.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id091__tr1p5__trefr6__vth0p5__lr0p002__ig1__wd0__h384__L2/SHD_dynsrm_BP_20260422_190615_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id091__tr1p5__trefr6__vth0p5__lr0p002__ig1__wd0__h384__L2 -b 128 -epochs 80 -j 4 -T 20 --model dynsrm --hidden-dim 384 --num-layers 2 -lr 0.002 --weight-decay 0.0 --input-gain 1.0 --v-threshold 0.5 --v-reset 0.0 --tau-response 1.5 --tau-refractory 6.0
alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2,alif,DONE,0.9240196078431372,0.9236456107054138,1261997664.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2/SHD_alif_BP_20260422_043040.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2/SHD_alif_BP_20260422_043040_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id043__tau3__vth0p5__lr0p001__ig1p5__wd0__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 256 --num-layers 2 -lr 0.001 --weight-decay 0.0 --input-gain 1.5 --v-threshold 0.5 --v-reset 0.0 --tau 3.0
lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2,lif,DONE,0.9240196078431372,0.9226209855497516,2834024020.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2/SHD_lif_BP_20260421_213329.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2/SHD_lif_BP_20260421_213329_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id019__tau3__vth0p5__lr0p0003__ig1__wd1em05__h500__L2 -b 128 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 500 --num-layers 2 -lr 0.0003 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.5 --v-reset 0.0 --tau 3.0
srm__id062__tr3__trefr12__vth0p5__lr0p001__ig1__wd1em05__h256__L2,srm,DONE,0.9227941176470588,0.9218924387621612,1215325048.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id062__tr3__trefr12__vth0p5__lr0p001__ig1__wd1em05__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id062__tr3__trefr12__vth0p5__lr0p001__ig1__wd1em05__h256__L2/SHD_srm_BP_20260422_102459.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id062__tr3__trefr12__vth0p5__lr0p001__ig1__wd1em05__h256__L2/SHD_srm_BP_20260422_102459_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id062__tr3__trefr12__vth0p5__lr0p001__ig1__wd1em05__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 256 --num-layers 2 -lr 0.001 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.5 --v-reset 0.0 --tau-response 3.0 --tau-refractory 12.0
srm__id066__tr3__trefr8__vth0p5__lr0p001__ig1p2__wd1em05__h256__L2,srm,DONE,0.9215686274509804,0.9211338154600618,1222633992.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id066__tr3__trefr8__vth0p5__lr0p001__ig1p2__wd1em05__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id066__tr3__trefr8__vth0p5__lr0p001__ig1p2__wd1em05__h256__L2/SHD_srm_BP_20260422_115625.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id066__tr3__trefr8__vth0p5__lr0p001__ig1p2__wd1em05__h256__L2/SHD_srm_BP_20260422_115625_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/srm__id066__tr3__trefr8__vth0p5__lr0p001__ig1p2__wd1em05__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model srm --hidden-dim 256 --num-layers 2 -lr 0.001 --weight-decay 1e-05 --input-gain 1.2 --v-threshold 0.5 --v-reset 0.0 --tau-response 3.0 --tau-refractory 8.0
alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2,alif,DONE,0.9191176470588236,0.9186011813061172,1909896504.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2/SHD_alif_BP_20260422_050052.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2/SHD_alif_BP_20260422_050052_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id044__tau2__vth0p5__lr0p002__ig1p5__wd0__h384__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 384 --num-layers 2 -lr 0.002 --weight-decay 0.0 --input-gain 1.5 --v-threshold 0.5 --v-reset 0.0 --tau 2.0
alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2,alif,DONE,0.9166666666666666,0.9159380524072732,1191250652.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2/SHD_alif_BP_20260422_010224.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2/SHD_alif_BP_20260422_010224_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id031__tau3__vth0p3__lr0p001__ig1__wd1em05__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 256 --num-layers 2 -lr 0.001 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.3 --v-reset 0.0 --tau 3.0
alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2,alif,DONE,0.9105392156862744,0.9100994697860862,1268988648.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2/SHD_alif_BP_20260422_013436.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2/SHD_alif_BP_20260422_013436_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id032__tau3__vth0p5__lr0p0008__ig1p2__wd0__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 256 --num-layers 2 -lr 0.0008 --weight-decay 0.0 --input-gain 1.2 --v-threshold 0.5 --v-reset 0.0 --tau 3.0
lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2,lif,DONE,0.909313725490196,0.907570863973736,2879515740.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2/SHD_lif_BP_20260421_191410.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2/SHD_lif_BP_20260421_191410_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id011__tau4__vth0p7__lr0p002__ig1__wd1em05__h500__L2 -b 128 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 500 --num-layers 2 -lr 0.002 --weight-decay 1e-05 --input-gain 1.0 --v-threshold 0.7 --v-reset 0.0 --tau 4.0
lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2,lif,DONE,0.909313725490196,0.90670050838452,1346394808.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2/SHD_lif_BP_20260421_165551.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2/SHD_lif_BP_20260421_165551_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/lif__id002__tau3__vth0p7__lr0p001__ig1p5__wd0__h256__L2 -b 128 -epochs 80 -j 4 -T 20 --model lif --hidden-dim 256 --num-layers 2 -lr 0.001 --weight-decay 0.0 --input-gain 1.5 --v-threshold 0.7 --v-reset 0.0 --tau 3.0
dynsrm__id105__tr4__trefr12__vth0p5__lr0p001__ig0p8__wd0__h500__L1,dynsrm,DONE,0.9080882352941176,0.9075537971651868,1965800120.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id105__tr4__trefr12__vth0p5__lr0p001__ig0p8__wd0__h500__L1,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id105__tr4__trefr12__vth0p5__lr0p001__ig0p8__wd0__h500__L1/SHD_dynsrm_BP_20260422_231600.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id105__tr4__trefr12__vth0p5__lr0p001__ig0p8__wd0__h500__L1/SHD_dynsrm_BP_20260422_231600_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/dynsrm__id105__tr4__trefr12__vth0p5__lr0p001__ig0p8__wd0__h500__L1 -b 128 -epochs 80 -j 4 -T 20 --model dynsrm --hidden-dim 500 --num-layers 1 -lr 0.001 --weight-decay 0.0 --input-gain 0.8 --v-threshold 0.5 --v-reset 0.0 --tau-response 4.0 --tau-refractory 12.0
alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2,alif,DONE,0.9068627450980392,0.9037669249895588,2127863664.0,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2/SHD_alif_BP_20260422_031744.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2/SHD_alif_BP_20260422_031744_summary.json,/home/yhxu/miniconda3/envs/sj39/bin/python /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/shd_bp_train_v1.py -device <GPU> -data-dir /home/public03/yhxu/spikingjelly/dataset/SHD -out-dir /home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/SHD/result/fintune/shd_bp/runs/alif__id038__tau4__vth0p5__lr0p0003__ig1p2__wd1em05__h384__L2 -b 128 -epochs 80 -j 4 -T 20 --model alif --hidden-dim 384 --num-layers 2 -lr 0.0003 --weight-decay 1e-05 --input-gain 1.2 --v-threshold 0.5 --v-reset 0.0 --tau 4.0
