run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,label_mode,input_normalize,current_normalize,goodness_mode,ff_loss,neg_k,predict_layers,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,lr_schedule,weight_decay,alpha,theta,label_scale,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,heldout_test_acc,heldout_test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260503_161458,shd,ff_v3,1,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.3818359375,0.5329446422618321,0.381192629130463,0.34753940784009435,0.38235294117647056,0.5698984577603862,0.3856252767963912,0.3535695021369881,0.38604240282685515,0.35915408447325586,0.38235294117647056,0.3535695021369881,5.077902793884277,0.9315133094787598,11.482239484786987,1411.6063837679196,875.9939248281952,0.7084127781646592,1.1415604282827938,1519.34375,1527.859375,310.03564453125,414.0,120.97705078125,414.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.02193476522747265,0.0,196178932.0,0.13684356305803572,874496000000.0,245860216000.0,245860216000.0,0.28114504354508196,196178932.0,0.27368712611607143,0.2863241528707837,516096000000.0,147770750000.0,0.2863241528707837,0.0,0.0,0.27368712611607143,358400000000.0,98089466000.0,0.27368712611607143,22275001.0,0.13648897671568627,99552000000.0,27829050500.0,27829050500.0,0.2795428569993571,22275001.0,0.27297795343137254,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.27297795343137254,40800000000.0,11137500500.0,0.27297795343137254
20260503_161458,shd,ff_v3,2,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.5542689732142857,0.6444754076754735,0.5555097804073502,0.5416558520020386,0.553921568627451,0.6732099209685936,0.5546915760391198,0.5448420482496166,0.5680212014134276,0.5497231877525282,0.553921568627451,0.5448420482496166,4.882308006286621,0.9775481224060059,11.229650259017944,1468.1580905527153,834.7415143017276,0.6811255589127541,1.1979756402034385,1529.875,1529.875,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.04867291743201869,0.0,198147814.0,0.13821694614955357,874496000000.0,246816197000.0,246816197000.0,0.2822382229306938,198147814.0,0.27643389229910714,0.28626900809151784,516096000000.0,147742290000.0,0.28626900809151784,0.0,0.0,0.27643389229910714,358400000000.0,99073907000.0,0.27643389229910714,22512023.0,0.13794131740196078,99552000000.0,27947561500.0,27947561500.0,0.280733300184828,22512023.0,0.27588263480392156,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.27588263480392156,40800000000.0,11256011500.0,0.27588263480392156
20260503_161458,shd,ff_v3,3,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.6065848214285714,0.6827137938905593,0.6081481093236756,0.5997013093176647,0.5870098039215687,0.6842436954838826,0.5827355477103641,0.5787027143107997,0.6113074204946997,0.5978654793521396,0.5870098039215687,0.5787027143107997,4.902482748031616,0.9783861637115479,11.297240972518921,1462.1163129799909,834.0265125014347,0.6839401155178036,1.1990026516072891,1530.40234375,1530.39453125,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.06558001174458436,0.0,203419987.0,0.14189452218191964,874496000000.0,249461613500.0,249461613500.0,0.2852632985170887,203419987.0,0.2837890443638393,0.2862870861235119,516096000000.0,147751620000.0,0.2862870861235119,0.0,0.0,0.2837890443638393,358400000000.0,101709993500.0,0.2837890443638393,23131280.0,0.1417357843137255,99552000000.0,28257190000.0,28257190000.0,0.283843518964963,23131280.0,0.283471568627451,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.283471568627451,40800000000.0,11565640000.0,0.283471568627451
20260503_161458,shd,ff_v3,4,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.6499720982142857,0.7141000966996947,0.6509402507089033,0.6519392762022893,0.6409313725490197,0.717283956523802,0.6343383384358288,0.6392323972128885,0.6285335689045937,0.6107904524232259,0.6409313725490197,0.6392323972128885,4.835505485534668,0.8369131088256836,11.177410364151001,1482.3682904389107,975.0116127885392,0.674596189388207,1.0256288098353965,1534.875,1530.39453125,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.07779174643967833,0.0,207636202.0,0.14483552036830358,874496000000.0,251607071000.0,251607071000.0,0.28771666308365046,207636202.0,0.28967104073660715,0.2863594563802083,516096000000.0,147788970000.0,0.2863594563802083,0.0,0.0,0.28967104073660715,358400000000.0,103818101000.0,0.28967104073660715,23608421.0,0.1446594424019608,99552000000.0,28495760500.0,28495760500.0,0.2862399600208936,23608421.0,0.2893188848039216,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.2893188848039216,40800000000.0,11804210500.0,0.2893188848039216
20260503_161458,shd,ff_v3,5,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.6635044642857143,0.7309207654020466,0.6639364298557247,0.6663206493201557,0.6286764705882353,0.7124667864337717,0.6258753208129402,0.6248381511304293,0.6598939929328622,0.6484778483297708,0.6409313725490197,0.6392323972128885,5.037179708480835,0.9241554737091064,11.299803256988525,1423.018517272992,882.9683134645911,0.7027315441519022,1.1325434726827286,1530.40625,1530.41015625,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.08657166574682508,0.0,211096541.0,0.14724926130022323,874496000000.0,253273350500.0,253273350500.0,0.2896220800323844,211096541.0,0.29449852260044646,0.28623566158234126,516096000000.0,147725080000.0,0.28623566158234126,0.0,0.0,0.29449852260044646,358400000000.0,105548270500.0,0.29449852260044646,24010169.0,0.14712113357843137,99552000000.0,28696634500.0,28696634500.0,0.28825773967373836,24010169.0,0.29424226715686275,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.29424226715686275,40800000000.0,12005084500.0,0.29424226715686275
20260503_161458,shd,ff_v3,6,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.7088448660714286,0.7473319356947892,0.7078787358131776,0.7066680086304692,0.6776960784313726,0.7363918246506193,0.6804804007819495,0.673937198747544,0.6877208480565371,0.6770643148169823,0.6776960784313726,0.673937198747544,4.852370023727417,0.9109466075897217,11.439544677734375,1477.2162808997405,895.7714900097807,0.6769489430423293,1.11635613675211,1530.4296875,1530.44140625,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.09242411516606808,0.0,213723286.0,0.149081533203125,874496000000.0,254549483000.0,254549483000.0,0.29108135771918914,213723286.0,0.29816306640625,0.28616350446428573,516096000000.0,147687840000.0,0.28616350446428573,0.0,0.0,0.29816306640625,358400000000.0,106861643000.0,0.29816306640625,24309891.0,0.14895766544117647,99552000000.0,28846495500.0,28846495500.0,0.28976309365959496,24309891.0,0.29791533088235295,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.29791533088235295,40800000000.0,12154945500.0,0.29791533088235295
20260503_161458,shd,ff_v3,7,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.7027064732142857,0.7566074670843556,0.7037348810772001,0.7058634072819713,0.6813725490196079,0.7528963863632345,0.6807156508217579,0.6803564981052829,0.6868374558303887,0.677230385441596,0.6813725490196079,0.6803564981052829,5.017076730728149,1.0564157962799072,11.67982792854309,1428.7204252026015,772.4231338394274,0.6999269992645297,1.2946272013234157,1530.44140625,1530.4609375,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.0977353530802897,0.0,215015489.0,0.14998290248325893,874496000000.0,255210854500.0,255210854500.0,0.291837646484375,215015489.0,0.29996580496651787,0.2861930919828869,516096000000.0,147703110000.0,0.2861930919828869,0.0,0.0,0.29996580496651787,358400000000.0,107507744500.0,0.29996580496651787,24461529.0,0.14988681985294117,99552000000.0,28922314500.0,28922314500.0,0.2905246956364513,24461529.0,0.29977363970588233,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.29977363970588233,40800000000.0,12230764500.0,0.29977363970588233
20260503_161458,shd,ff_v3,8,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.7024274553571429,0.7555621456762576,0.7030850206398437,0.7078648621137835,0.6813725490196079,0.7385700023569874,0.6824453757493494,0.6843422880906902,0.6802120141342756,0.669390888020509,0.6813725490196079,0.6843422880906902,4.79894232749939,1.0961799621582031,11.390602350234985,1493.6624595226315,744.4033171281716,0.6694953023855176,1.3433577967625039,1530.4609375,1530.48828125,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.102155082992145,0.0,216219427.0,0.15082270298549108,874496000000.0,255879153500.0,255879153500.0,0.29260185695532054,216219427.0,0.30164540597098216,0.28632161458333333,516096000000.0,147769440000.0,0.28632161458333333,0.0,0.0,0.30164540597098216,358400000000.0,108109713500.0,0.30164540597098216,24603543.0,0.15075700367647057,99552000000.0,28993321500.0,28993321500.0,0.29123796106557376,24603543.0,0.30151400735294115,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.30151400735294115,40800000000.0,12301771500.0,0.30151400735294115
20260503_161458,shd,ff_v3,9,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.7169363839285714,0.7715542271751952,0.7171901631205536,0.7223038024090449,0.6973039215686274,0.7696437791482497,0.697455479190654,0.698366460778947,0.6943462897526502,0.6848500646358546,0.6973039215686274,0.698366460778947,4.8619208335876465,0.942657470703125,11.244844913482666,1474.3144212635566,865.6378646119978,0.6782813662929195,1.1552174886067708,1530.47265625,1530.48046875,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.10544982073562485,0.0,217087400.0,0.1514281529017857,874496000000.0,256252560000.0,256252560000.0,0.2930288531908665,217087400.0,0.3028563058035714,0.28620423332093253,516096000000.0,147708860000.0,0.28620423332093253,0.0,0.0,0.3028563058035714,358400000000.0,108543700000.0,0.3028563058035714,24698970.0,0.15134172794117648,99552000000.0,29041035000.0,29041035000.0,0.2917172432497589,24698970.0,0.30268345588235296,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.30268345588235296,40800000000.0,12349485000.0,0.30268345588235296
20260503_161458,shd,ff_v3,10,dynsrm,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.7484654017857143,0.7758939576933614,0.7492718465203322,0.7500260951223439,0.7132352941176471,0.7463059148716404,0.7134426469052235,0.711476330640862,0.7009717314487632,0.6937709521474656,0.7132352941176471,0.711476330640862,4.888010025024414,0.8821015357971191,11.34161376953125,1466.445437571335,925.0635747534598,0.6819210414375577,1.081006784065097,1530.49609375,1530.48828125,312.12939453125,446.0,121.17236328125,446.0,,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_eval_confusion.csv,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_best_model.pth,./rsult/v3/dynsrm/SHD_dynsrm_FF_v3_20260503_161458_final_model.pth,-0.10826627191688333,0.0,218677439.0,0.15253727608816964,874496000000.0,257028299500.0,257028299500.0,0.29391592357197743,218677439.0,0.3050745521763393,0.2861668759300595,516096000000.0,147689580000.0,0.2861668759300595,0.0,0.0,0.3050745521763393,358400000000.0,109338719500.0,0.3050745521763393,24879463.0,0.1524476899509804,99552000000.0,29131281500.0,29131281500.0,0.2926237694873031,24879463.0,0.3048953799019608,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.3048953799019608,40800000000.0,12439731500.0,0.3048953799019608
