run_id,epoch,model,hidden_dim,num_layers,T,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,alpha,label_scale,eval_subset,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260425_191423,1,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9301460779082177,0.9296339034518011,0.9293428000591613,0.9292981550265026,0.9627,0.9632075797999345,0.961995685106731,0.962253175485532,0.9627,0.962253175485532,16.219242811203003,2.9076151847839355,19.14006233215332,3697.336595675029,3439.244660824365,0.27046496149951643,0.29076151847839354,1498.42578125,1531.99609375,31.86376953125,48.0,126.978515625,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,41537405.0,0.13581558857534476,238072960000.0,45356927680.0,45356927680.0,0.19051692254340855,40951768.0,0.13657873532550693,0.19120490962526954,235074560000.0,44947410000.0,0.19120490962526954,585637.0,0.09765825106723586,0.13657873532550693,2998400000.0,409517680.0,0.13657873532550693,7048667.0,0.1382091568627451,39700000000.0,7625582670.0,7625582670.0,0.19208016801007557,6948767.0,0.13897534,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99900.0,0.0999,0.13897534,500000000.0,69487670.0,0.13897534
20260425_191423,2,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9720184098185699,0.9718038666347926,0.9717582161060119,0.9717629761201746,0.9722,0.9725309108670561,0.9718255419689747,0.9720128241522774,0.9722,0.9720128241522774,15.502084970474243,3.0912790298461914,18.607348680496216,3868.382873285557,3234.906944164648,0.2585059526826681,0.3091279029846191,1534.3671875,1533.9765625,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,43241103.0,0.14138620009102895,238072960000.0,45371761410.0,45371761410.0,0.19057923003939634,42644641.0,0.14222465648345783,0.1911959975592425,235074560000.0,44945315000.0,0.1911959975592425,596462.0,0.09946338046958378,0.14222465648345783,2998400000.0,426446410.0,0.14222465648345783,7316478.0,0.14346035294117648,39700000000.0,7628261010.0,7628261010.0,0.19214763249370276,7216601.0,0.14433202,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99877.0,0.099877,0.14433202,500000000.0,72166010.0,0.14433202
20260425_191423,3,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9814734525080042,0.9813658289256386,0.9813200333251008,0.9813298995357046,0.9763,0.976286114163098,0.9760196403584194,0.976091392947821,0.9763,0.976091392947821,16.06525707244873,2.782845973968506,18.8622727394104,3732.775624415168,3593.443580256581,0.2678971630277603,0.2782845973968506,1534.84765625,1533.96484375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,44303632.0,0.14486036997509782,238072960000.0,45384773980.0,45384773980.0,0.19063388794762748,43705898.0,0.1457640675026681,0.19120620708595604,235074560000.0,44947715000.0,0.19120620708595604,597734.0,0.09967549359658484,0.1457640675026681,2998400000.0,437058980.0,0.1457640675026681,7496616.0,0.1469924705882353,39700000000.0,7630065210.0,7630065210.0,0.1921930783375315,7397021.0,0.14794042,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99595.0,0.099595,0.14794042,500000000.0,73970210.0,0.14794042
20260425_191423,4,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9867262540021344,0.9866881484810129,0.9866052262741316,0.9866347863097212,0.9771,0.9772199837947773,0.9768652289568258,0.9769245104204947,0.9771,0.9769245104204947,15.815530776977539,2.3749866485595703,18.2047119140625,3791.715930728966,4210.549986066238,0.263732837129428,0.23749866485595703,1534.96484375,1534.3359375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,45888736.0,0.1500432125891979,238072960000.0,45397899780.0,45397899780.0,0.19068902146636058,45290478.0,0.15104881937033085,0.191194636289014,235074560000.0,44944995000.0,0.191194636289014,598258.0,0.0997628735325507,0.15104881937033085,2998400000.0,452904780.0,0.15104881937033085,7768230.0,0.15231823529411764,39700000000.0,7632771100.0,7632771100.0,0.19226123677581863,7667610.0,0.1533522,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,100620.0,0.10062,0.1533522,500000000.0,76676100.0,0.1533522
20260425_191423,5,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9896111259338314,0.9895712700218411,0.9895327109383742,0.9895432016042489,0.9772,0.9772026579241455,0.9770289931295695,0.977069803267001,0.9772,0.977069803267001,16.012951374053955,2.2722489833831787,18.299630403518677,3744.968594432075,4400.926163078696,0.267024936200206,0.22722489833831788,1535.3359375,1535.0859375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,47039169.0,0.15380480373846445,238072960000.0,45411826660.0,45411826660.0,0.19074751983593602,46440666.0,0.15488482524012806,0.19120495216496416,235074560000.0,44947420000.0,0.19120495216496416,598503.0,0.09980372865528282,0.15488482524012806,2998400000.0,464406660.0,0.15488482524012806,7610732.0,0.14923003921568628,39700000000.0,7631197530.0,7631197530.0,0.19222160025188917,7510253.0,0.15020506,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,100479.0,0.100479,0.15020506,500000000.0,75102530.0,0.15020506
20260425_191423,6,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9912119797225186,0.9912094296798436,0.9911288624424766,0.9911630814455388,0.9792,0.9790696949750808,0.9789931573785544,0.9789750763764143,0.9792,0.9789750763764143,15.79572057723999,2.7334983348846436,18.54357075691223,3796.471310489483,3658.3157459366116,0.26340249094917273,0.27334983348846437,1536.0859375,1535.05859375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,47175250.0,0.1542497501935673,238072960000.0,45410774050.0,45410774050.0,0.19074309846023674,46576405.0,0.15533753001600853,0.19119470009855596,235074560000.0,44945010000.0,0.19119470009855596,598845.0,0.09986075907150481,0.15533753001600853,2998400000.0,465764050.0,0.15533753001600853,7839679.0,0.15371919607843137,39700000000.0,7633497940.0,7633497940.0,0.1922795450881612,7740294.0,0.15480588,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99385.0,0.099385,0.15480588,500000000.0,77402940.0,0.15480588
20260425_191423,7,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.993479855923159,0.9934577658265707,0.9934120425817626,0.993430266295708,0.9783,0.9781154414582669,0.9782372913471269,0.9780932343951718,0.9792,0.9789750763764143,15.466675043106079,2.980569839477539,18.449296951293945,3877.2392794745747,3355.0631384476765,0.2579154723036633,0.29805698394775393,1536.05859375,1535.58984375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,47649657.0,0.15580092716115262,238072960000.0,45417333120.0,45417333120.0,0.19077064913209799,47050812.0,0.15691973052294558,0.1912024210531331,235074560000.0,44946825000.0,0.1912024210531331,598845.0,0.09986075907150481,0.15691973052294558,2998400000.0,470508120.0,0.15691973052294558,8006599.0,0.15699213725490196,39700000000.0,7635167010.0,7635167010.0,0.19232158715365238,7907201.0,0.15814402,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99398.0,0.099398,0.15814402,500000000.0,79072010.0,0.15814402
20260425_191423,8,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9940801760939167,0.9940464784779136,0.9940428799371512,0.994041276372772,0.9777,0.9779581845522334,0.9773113554139927,0.9775216612284042,0.9792,0.9789750763764143,15.798519372940063,2.9085693359375,18.709208726882935,3795.7987444515893,3438.1164225458515,0.2634491624356334,0.29085693359375,1536.08984375,1535.484375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,47966243.0,0.1568360740107142,238072960000.0,45419758610.0,45419758610.0,0.19078083714336982,47367361.0,0.1579754569103522,0.19119927311572976,235074560000.0,44946085000.0,0.19119927311572976,598882.0,0.09986692902881537,0.1579754569103522,2998400000.0,473673610.0,0.1579754569103522,8071670.0,0.15826803921568627,39700000000.0,7635814280.0,7635814280.0,0.1923378911838791,7971928.0,0.15943856,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99742.0,0.099742,0.15943856,500000000.0,79719280.0,0.15943856
20260425_191423,9,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9951307363927427,0.9951412311120711,0.9951018485502164,0.9951181018194575,0.9785,0.9784879130017773,0.9782722800473929,0.9782870303485002,0.9792,0.9789750763764143,15.549793481826782,2.9811506271362305,18.533137321472168,3856.514240532215,3354.409505166888,0.2593015188404946,0.29811506271362304,1536.484375,1535.87109375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,47957429.0,0.1568072547188566,238072960000.0,45419958590.0,45419958590.0,0.19078167713796645,47358359.0,0.1579454342315902,0.1912005067668743,235074560000.0,44946375000.0,0.1912005067668743,599070.0,0.09989827908217716,0.1579454342315902,2998400000.0,473583590.0,0.1579454342315902,8087244.0,0.15857341176470588,39700000000.0,7635970850.0,7635970850.0,0.19234183501259447,7987585.0,0.1597517,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99659.0,0.099659,0.1597517,500000000.0,79875850.0,0.1597517
20260425_191423,10,alif,500,2,10,2.0,0.4,0.0,2.0,10.0,1.0,0.001,0.0,0.0,0.0,0,0.9959811899679829,0.995992920414589,0.9959476808180812,0.9959674380969574,0.9782,0.9781272483961342,0.9779866754788831,0.9780025107764867,0.9792,0.9789750763764143,15.55880355834961,2.74304461479187,18.303635597229004,3854.2809397332007,3645.584160780686,0.25945176691484806,0.274304461479187,1536.85546875,1536.40234375,31.86376953125,204.0,127.02001953125,204.0,,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_test_confusion.csv,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_best_model.pth,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423_final_model.pth,0.0,0.0,48348120.0,0.15808470399899555,238072960000.0,45423736140.0,45423736140.0,0.1907975443326281,47749114.0,0.15924864594450375,0.19119995375084398,235074560000.0,44946245000.0,0.19119995375084398,599006.0,0.09988760672358592,0.15924864594450375,2998400000.0,477491140.0,0.15924864594450375,8009810.0,0.1570550980392157,39700000000.0,7635194290.0,7635194290.0,0.19232227430730478,7909929.0,0.15819858,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,99881.0,0.099881,0.15819858,500000000.0,79099290.0,0.15819858
